order_id,order_date,customer_type,discount_code,net_sales,units,aov,upt,skus
ord_100037,2025-02-14,subscriber,,165.9,3,165.9,3,CYM-VTD-30|CYM-VTC-30|CYM-MTB-30
ord_100038,2025-02-14,new,,52.0,1,52.0,1,CYM-VTC-30
ord_100039,2025-02-14,subscriber,,323.4,5,323.4,5,CYM-GLU-30|CYM-VTC-30|CYM-MAG-30|CYM-COL-30|CYM-VTD-30
ord_100040,2025-02-14,returning,SUB15,55.25,1,55.25,1,CYM-PRO-30
ord_100041,2025-02-14,subscriber,,245.7,4,245.7,4,CYM-MTB-30|CYM-MAG-30|CYM-PRO-30|CYM-ASH-30
ord_100042,2025-02-14,subscriber,WELCOME10,94.5,2,94.5,2,CYM-OMG-60|CYM-CRE-30
ord_100043,2025-02-14,subscriber,,200.55,3,200.55,3,CYM-GLU-30|CYM-OMG-60|CYM-MTB-30
ord_100044,2025-02-14,subscriber,,214.2,3,214.2,3,CYM-MTB-30|CYM-GLU-30|CYM-COL-30
ord_100045,2025-02-14,subscriber,,81.9,1,81.9,1,CYM-GLU-30
ord_100046,2025-02-14,subscriber,,71.4,1,71.4,1,CYM-COL-30
ord_100047,2025-02-14,returning,,116.0,2,116.0,2,CYM-VTD-30|CYM-COL-30
ord_100048,2025-02-14,subscriber,,57.75,1,57.75,1,CYM-OMG-60
ord_100049,2025-02-14,new,,58.0,1,58.0,1,CYM-MTB-30
ord_100050,2025-02-14,new,,49.0,1,49.0,1,CYM-ASH-30
ord_100051,2025-02-14,returning,,78.0,1,78.0,1,CYM-GLU-30
ord_100052,2025-02-14,new,,93.0,2,93.0,2,CYM-VTD-30|CYM-CRE-30
ord_100053,2025-02-14,subscriber,,65.1,1,65.1,1,CYM-MAG-30
ord_100054,2025-02-14,returning,WELCOME10,213.3,4,213.3,4,CYM-COL-30|CYM-OMG-60|CYM-MAG-30|CYM-VTC-30
ord_100055,2025-02-14,new,SUB15,239.7,5,239.7,5,CYM-ASH-30|CYM-CRE-30|CYM-GLU-30|CYM-MTB-30|CYM-VTC-30
ord_100056,2025-02-14,returning,,52.0,1,52.0,1,CYM-VTC-30
ord_100057,2025-02-14,new,WELCOME10,131.4,2,131.4,2,CYM-COL-30|CYM-GLU-30
ord_100058,2025-02-14,returning,FRIEND10,87.3,2,87.3,2,CYM-VTD-30|CYM-ASH-30
ord_100059,2025-02-14,new,,133.0,2,133.0,2,CYM-OMG-60|CYM-GLU-30
ord_100060,2025-02-14,new,SUB15,46.75,1,46.75,1,CYM-OMG-60
ord_100061,2025-02-14,subscriber,,197.4,3,197.4,3,CYM-GLU-30|CYM-PRO-30|CYM-CRE-30
ord_100062,2025-02-14,subscriber,WELCOME10,120.02,2,120.02,2,CYM-ASH-30|CYM-GLU-30
ord_100063,2025-02-14,returning,,253.0,4,253.0,4,CYM-ASH-30|CYM-GLU-30|CYM-MTB-30|CYM-COL-30
ord_100064,2025-02-14,new,,58.0,1,58.0,1,CYM-MTB-30
ord_100065,2025-02-14,subscriber,,115.5,2,115.5,2,CYM-VTC-30|CYM-MTB-30
ord_100066,2025-02-14,returning,,65.0,1,65.0,1,CYM-PRO-30
ord_100067,2025-02-14,new,FRIEND10,166.5,3,166.5,3,CYM-OMG-60|CYM-COL-30|CYM-MAG-30
ord_100068,2025-02-14,returning,,65.0,1,65.0,1,CYM-PRO-30
ord_100069,2025-02-14,subscriber,,132.3,2,132.3,2,CYM-MTB-30|CYM-COL-30
ord_100070,2025-02-14,returning,,148.0,3,148.0,3,CYM-VTD-30|CYM-CRE-30|CYM-OMG-60
ord_100071,2025-02-14,new,WELCOME10,44.1,1,44.1,1,CYM-ASH-30
ord_100072,2025-02-14,new,FRIEND10,96.3,2,96.3,2,CYM-VTC-30|CYM-OMG-60
ord_100073,2025-02-14,returning,,58.0,1,58.0,1,CYM-MTB-30
ord_100074,2025-02-14,subscriber,SUB15,217.77,4,217.77,4,CYM-ASH-30|CYM-COL-30|CYM-MAG-30|CYM-PRO-30
ord_100075,2025-02-14,returning,SUB15,154.7,3,154.7,3,CYM-GLU-30|CYM-OMG-60|CYM-ASH-30
ord_100076,2025-02-14,returning,,191.0,3,191.0,3,CYM-PRO-30|CYM-COL-30|CYM-MTB-30
ord_100077,2025-02-14,subscriber,,255.15,4,255.15,4,CYM-MTB-30|CYM-GLU-30|CYM-MAG-30|CYM-CRE-30
ord_100078,2025-02-14,subscriber,,133.35,2,133.35,2,CYM-ASH-30|CYM-GLU-30
ord_100079,2025-02-14,subscriber,SUB15,42.84,1,42.84,1,CYM-VTD-30
ord_100080,2025-02-14,new,,117.0,2,117.0,2,CYM-COL-30|CYM-ASH-30
ord_100081,2025-02-14,subscriber,,116.55,2,116.55,2,CYM-ASH-30|CYM-MAG-30
ord_100082,2025-02-14,subscriber,,71.4,1,71.4,1,CYM-COL-30
ord_100083,2025-02-14,returning,,126.0,2,126.0,2,CYM-VTD-30|CYM-GLU-30
ord_100084,2025-02-14,subscriber,,51.45,1,51.45,1,CYM-ASH-30
ord_100085,2025-02-14,new,,52.0,1,52.0,1,CYM-VTC-30
ord_100086,2025-02-14,returning,,175.0,3,175.0,3,CYM-PRO-30|CYM-VTC-30|CYM-MTB-30
ord_100087,2025-02-14,returning,,103.0,2,103.0,2,CYM-VTD-30|CYM-OMG-60
ord_100088,2025-02-14,returning,WELCOME10,117.0,2,117.0,2,CYM-COL-30|CYM-MAG-30
ord_100089,2025-02-14,new,,159.0,3,159.0,3,CYM-VTD-30|CYM-ASH-30|CYM-MAG-30
ord_100090,2025-02-14,subscriber,,132.3,2,132.3,2,CYM-MTB-30|CYM-COL-30
ord_100091,2025-02-14,subscriber,,51.45,1,51.45,1,CYM-ASH-30
ord_100092,2025-02-15,new,WELCOME10,175.5,3,175.5,3,CYM-COL-30|CYM-GLU-30|CYM-ASH-30
ord_100093,2025-02-15,new,WELCOME10,44.1,1,44.1,1,CYM-ASH-30
ord_100094,2025-02-15,new,,116.0,2,116.0,2,CYM-VTD-30|CYM-COL-30
ord_100095,2025-02-15,subscriber,SUB15,43.73,1,43.73,1,CYM-ASH-30
ord_100096,2025-02-15,returning,,174.0,3,174.0,3,CYM-VTD-30|CYM-MTB-30|CYM-COL-30
ord_100097,2025-02-15,new,,113.0,2,113.0,2,CYM-OMG-60|CYM-MTB-30
ord_100098,2025-02-15,new,WELCOME10,96.3,2,96.3,2,CYM-CRE-30|CYM-MAG-30
ord_100099,2025-02-15,new,,291.0,5,291.0,5,CYM-MAG-30|CYM-MTB-30|CYM-VTD-30|CYM-OMG-60|CYM-COL-30
ord_100100,2025-02-15,returning,,65.0,1,65.0,1,CYM-PRO-30
ord_100101,2025-02-15,returning,WELCOME10,55.8,1,55.8,1,CYM-MAG-30
ord_100102,2025-02-15,new,,100.0,2,100.0,2,CYM-VTD-30|CYM-VTC-30
ord_100103,2025-02-15,new,SUB15,236.3,5,236.3,5,CYM-GLU-30|CYM-ASH-30|CYM-VTD-30|CYM-MTB-30|CYM-CRE-30
ord_100104,2025-02-15,new,,49.0,1,49.0,1,CYM-ASH-30
ord_100105,2025-02-15,returning,FRIEND10,43.2,1,43.2,1,CYM-VTD-30
ord_100106,2025-02-15,subscriber,,153.3,2,153.3,2,CYM-COL-30|CYM-GLU-30
ord_100107,2025-02-15,returning,,133.0,2,133.0,2,CYM-PRO-30|CYM-COL-30
ord_100108,2025-02-15,returning,,55.0,1,55.0,1,CYM-OMG-60
ord_100109,2025-02-15,new,,97.0,2,97.0,2,CYM-VTC-30|CYM-CRE-30
ord_100110,2025-02-15,subscriber,,111.3,2,111.3,2,CYM-VTD-30|CYM-MTB-30
ord_100111,2025-02-15,new,,78.0,1,78.0,1,CYM-GLU-30
ord_100112,2025-02-15,subscriber,,288.75,5,288.75,5,CYM-MTB-30|CYM-VTD-30|CYM-OMG-60|CYM-MAG-30|CYM-VTC-30
ord_100113,2025-02-15,subscriber,,108.15,2,108.15,2,CYM-MTB-30|CYM-CRE-30
ord_100114,2025-02-15,new,,65.0,1,65.0,1,CYM-PRO-30
ord_100115,2025-02-15,new,SUB15,66.3,1,66.3,1,CYM-GLU-30
ord_100116,2025-02-15,subscriber,,234.15,4,234.15,4,CYM-MTB-30|CYM-OMG-60|CYM-CRE-30|CYM-PRO-30
ord_100117,2025-02-15,subscriber,,320.25,5,320.25,5,CYM-VTC-30|CYM-MTB-30|CYM-MAG-30|CYM-OMG-60|CYM-GLU-30
ord_100118,2025-02-15,subscriber,WELCOME10,180.5,3,180.5,3,CYM-CRE-30|CYM-COL-30|CYM-GLU-30
ord_100119,2025-02-15,new,,55.0,1,55.0,1,CYM-OMG-60
ord_100120,2025-02-15,new,SUB15,41.65,1,41.65,1,CYM-ASH-30
ord_100121,2025-02-15,returning,,65.0,1,65.0,1,CYM-PRO-30
ord_100122,2025-02-15,subscriber,SUB15,225.8,4,225.8,4,CYM-MAG-30|CYM-PRO-30|CYM-GLU-30|CYM-VTD-30
ord_100123,2025-02-15,subscriber,,71.4,1,71.4,1,CYM-COL-30
ord_100124,2025-02-15,new,SUB15,135.15,3,135.15,3,CYM-VTD-30|CYM-ASH-30|CYM-MAG-30
ord_100125,2025-02-15,new,,117.0,2,117.0,2,CYM-PRO-30|CYM-VTC-30
ord_100126,2025-02-15,returning,,116.0,2,116.0,2,CYM-VTD-30|CYM-COL-30
ord_100127,2025-02-15,returning,,48.0,1,48.0,1,CYM-VTD-30
ord_100128,2025-02-15,new,,289.0,5,289.0,5,CYM-COL-30|CYM-ASH-30|CYM-MAG-30|CYM-CRE-30|CYM-PRO-30
ord_100129,2025-02-15,subscriber,,132.3,2,132.3,2,CYM-VTD-30|CYM-GLU-30
ord_100130,2025-02-15,subscriber,,112.35,2,112.35,2,CYM-MTB-30|CYM-ASH-30
ord_100131,2025-02-15,subscriber,,54.6,1,54.6,1,CYM-VTC-30
ord_100132,2025-02-15,new,,116.0,2,116.0,2,CYM-COL-30|CYM-VTD-30
ord_100133,2025-02-15,subscriber,,187.95,3,187.95,3,CYM-PRO-30|CYM-VTC-30|CYM-MAG-30
ord_100134,2025-02-15, new ,SUB15,198.9,4,198.9,4,CYM-PRO-30|CYM-VTC-30|CYM-ASH-30|CYM-COL-30
ord_100135,2025-02-15,returning,,250.0,4,250.0,4,CYM-GLU-30|CYM-PRO-30|CYM-OMG-60|CYM-VTC-30
ord_100136,2025-02-15,returning,,58.0,1,58.0,1,CYM-MTB-30
ord_100137,2025-02-15,returning,,188.0,3,188.0,3,CYM-OMG-60|CYM-COL-30|CYM-PRO-30
ord_100138,2025-02-15,new,,68.0,1,68.0,1,CYM-COL-30
ord_100139,2025-02-15,subscriber,,309.75,5,309.75,5,CYM-CRE-30|CYM-MAG-30|CYM-MTB-30|CYM-VTC-30|CYM-GLU-30
ord_100140,2025-02-15,returning,,49.0,1,49.0,1,CYM-ASH-30
ord_100141,2025-02-15,subscriber,,68.25,1,68.25,1,CYM-PRO-30
ord_100142,2025-02-15,new,,48.0,1,48.0,1,CYM-VTD-30
ord_100143,2025-02-15,new,FRIEND10,119.7,2,119.7,2,CYM-GLU-30|CYM-OMG-60
ord_100144,2025-02-15,subscriber,,112.35,2,112.35,2,CYM-CRE-30|CYM-MAG-30
ord_100145,2025-02-15,returning,WELCOME10,186.3,4,186.3,4,CYM-OMG-60|CYM-ASH-30|CYM-MTB-30|CYM-CRE-30
ord_100146,2025-02-15,subscriber,,51.45,1,51.45,1,CYM-ASH-30
ord_100147,2025-02-15,subscriber,WELCOME10,143.64,3,143.64,3,CYM-ASH-30|CYM-CRE-30|CYM-MTB-30
ord_100148,2025-02-15,subscriber,,50.4,1,50.4,1,CYM-VTD-30
ord_100149,2025-02-15,subscriber,,142.8,2,142.8,2,CYM-MTB-30|CYM-GLU-30
ord_100150,2025-02-15,new,,107.0,2,107.0,2,CYM-MTB-30|CYM-ASH-30
ord_100151,2025-02-15,returning,,243.0,4,243.0,4,CYM-VTC-30|CYM-COL-30|CYM-MTB-30|CYM-PRO-30
ord_100152,2025-02-15,new,,172.0,3,172.0,3,CYM-ASH-30|CYM-PRO-30|CYM-MTB-30
ord_100153,2025-02-15,returning,,101.0,2,101.0,2,CYM-VTC-30|CYM-ASH-30
ord_100154,2025-02-15,subscriber,,101.85,2,101.85,2,CYM-CRE-30|CYM-VTC-30
ord_100155,2025-02-15,returning,,297.0,5,297.0,5,CYM-CRE-30|CYM-VTD-30|CYM-COL-30|CYM-MTB-30|CYM-GLU-30
ord_100156,2025-02-15,new,,292.0,5,292.0,5,CYM-GLU-30|CYM-VTD-30|CYM-OMG-60|CYM-ASH-30|CYM-MAG-30
ord_100157,2025-02-15,returning,,52.0,1,52.0,1,CYM-VTC-30
ord_100158,2025-02-15,new,WELCOME10,209.7,4,209.7,4,CYM-OMG-60|CYM-MAG-30|CYM-VTD-30|CYM-COL-30
ord_100159,2025-02-15,new,,100.0,2,100.0,2,CYM-OMG-60|CYM-CRE-30
ord_100160,2025-02-15,new,SUB15,145.35,3,145.35,3,CYM-PRO-30|CYM-VTD-30|CYM-MTB-30
ord_100161,2025-02-15,new,,68.0,1,68.0,1,CYM-COL-30
ord_100162,2025-02-16,new,SUB15,87.55,2,87.55,2,CYM-MTB-30|CYM-CRE-30
ord_100163,2025-02-16,subscriber,,108.15,2,108.15,2,CYM-MTB-30|CYM-CRE-30
ord_100164,2025-02-16,returning,,58.0,1,58.0,1,CYM-MTB-30
ord_100165,2025-02-16,new,,65.0,1,65.0,1,CYM-PRO-30
ord_100166,2025-02-16,subscriber,,136.5,2,136.5,2,CYM-GLU-30|CYM-VTC-30
ord_100167,2025-02-16,returning,SUB15,251.6,5,251.6,5,CYM-OMG-60|CYM-GLU-30|CYM-MAG-30|CYM-VTC-30|CYM-ASH-30
ord_100168,2025-02-16,new,,260.0,4,260.0,4,CYM-COL-30|CYM-ASH-30|CYM-PRO-30|CYM-GLU-30
ord_100169,2025-02-16,subscriber,,47.25,1,47.25,1,CYM-CRE-30
ord_100170,2025-02-16,new,,191.0,3,191.0,3,CYM-COL-30|CYM-CRE-30|CYM-GLU-30
ord_100171,2025-02-16,returning,,158.0,3,158.0,3,CYM-OMG-60|CYM-CRE-30|CYM-MTB-30
ord_100172,2025-02-16,returning,SUB15,40.8,1,40.8,1,CYM-VTD-30
ord_100173,2025-02-16,subscriber,,136.5,2,136.5,2,CYM-GLU-30|CYM-VTC-30
ord_100174,2025-02-16,subscriber,,139.65,2,139.65,2,CYM-GLU-30|CYM-OMG-60
ord_100175,2025-02-16,new,,282.0,5,282.0,5,CYM-PRO-30|CYM-ASH-30|CYM-VTD-30|CYM-VTC-30|CYM-COL-30
ord_100176,2025-02-16,new,SUB15,38.25,1,38.25,1,CYM-CRE-30
ord_100177,2025-02-16,returning,,279.0,5,279.0,5,CYM-MTB-30|CYM-VTC-30|CYM-OMG-60|CYM-PRO-30|CYM-ASH-30
ord_100178,2025-02-16,new,,179.0,3,179.0,3,CYM-VTC-30|CYM-MAG-30|CYM-PRO-30
ord_100179,2025-02-16,subscriber,,57.75,1,57.75,1,CYM-OMG-60
ord_100180,2025-02-16,returning,,48.0,1,48.0,1,CYM-VTD-30
ord_100181,2025-02-16,subscriber,,109.2,2,109.2,2,CYM-OMG-60|CYM-ASH-30
ord_100182,2025-02-16,subscriber,,81.9,1,81.9,1,CYM-GLU-30
ord_100183,2025-02-16,returning,SUB15,209.95,4,209.95,4,CYM-VTC-30|CYM-MAG-30|CYM-OMG-60|CYM-GLU-30
ord_100184,2025-02-16,subscriber,,129.15,2,129.15,2,CYM-OMG-60|CYM-COL-30
ord_100185,2025-02-16,subscriber,,47.25,1,47.25,1,CYM-CRE-30
ord_100186,2025-02-16,new,,58.0,1,58.0,1,CYM-MTB-30
ord_100187,2025-02-16,new,,291.0,5,291.0,5,CYM-CRE-30|CYM-MTB-30|CYM-MAG-30|CYM-GLU-30|CYM-VTD-30
ord_100188,2025-02-16,returning,,136.0,2,136.0,2,CYM-GLU-30|CYM-MTB-30
ord_100189,2025-02-16,subscriber,,98.7,2,98.7,2,CYM-CRE-30|CYM-ASH-30
ord_100190,2025-02-16,subscriber,,68.25,1,68.25,1,CYM-PRO-30
ord_100191,2025-02-16,returning,,220.0,4,220.0,4,CYM-PRO-30|CYM-CRE-30|CYM-VTC-30|CYM-MTB-30
ord_100192,2025-02-16,subscriber,,65.1,1,65.1,1,CYM-MAG-30
ord_100193,2025-02-16,new,SUB15,66.3,1,66.3,1,CYM-GLU-30
ord_100194,2025-02-16,returning,,48.0,1,48.0,1,CYM-VTD-30
ord_100195,2025-02-16,new,,113.0,2,113.0,2,CYM-CRE-30|CYM-COL-30
ord_100196,2025-02-16,returning,WELCOME10,207.0,4,207.0,4,CYM-COL-30|CYM-ASH-30|CYM-PRO-30|CYM-VTD-30
ord_100197,2025-02-16,subscriber,,214.2,4,214.2,4,CYM-MTB-30|CYM-ASH-30|CYM-VTC-30|CYM-CRE-30
ord_100198,2025-02-16,new,,162.0,3,162.0,3,CYM-MAG-30|CYM-OMG-60|CYM-CRE-30
ord_100199,2025-02-16,subscriber,WELCOME10,174.83,3,174.83,3,CYM-OMG-60|CYM-VTC-30|CYM-GLU-30
ord_100200,2025-02-16,subscriber,,101.85,2,101.85,2,CYM-VTC-30|CYM-CRE-30
ord_100201,2025-02-16,subscriber,,57.75,1,57.75,1,CYM-OMG-60
ord_100202,2025-02-16,subscriber,,71.4,1,71.4,1,CYM-COL-30
ord_100203,2025-02-16,new,,55.0,1,55.0,1,CYM-OMG-60
ord_100204,2025-02-16,new,,101.0,2,101.0,2,CYM-ASH-30|CYM-VTC-30
ord_100205,2025-02-16,subscriber,,54.6,1,54.6,1,CYM-VTC-30
ord_100206,2025-02-16,returning,,130.0,2,130.0,2,CYM-VTC-30|CYM-GLU-30
ord_100207,2025-02-16,new,,78.0,1,78.0,1,CYM-GLU-30
ord_100208,2025-02-16,returning,,175.0,3,175.0,3,CYM-MAG-30|CYM-VTD-30|CYM-PRO-30
ord_100209,2025-02-16,returning,,49.0,1,49.0,1,CYM-ASH-30
ord_100210,2025-02-16,subscriber,,47.25,1,47.25,1,CYM-CRE-30
ord_100211,2025-02-16,new,,58.0,1,58.0,1,CYM-MTB-30
ord_100212,2025-02-16,new,,259.0,4,259.0,4,CYM-GLU-30|CYM-OMG-60|CYM-COL-30|CYM-MTB-30
ord_100213,2025-02-16,new,,162.0,3,162.0,3,CYM-VTC-30|CYM-CRE-30|CYM-PRO-30
ord_100214,2025-02-16,new,,207.0,4,207.0,4,CYM-VTC-30|CYM-VTD-30|CYM-CRE-30|CYM-MAG-30
ord_100215,2025-02-16,subscriber,,268.8,4,268.8,4,CYM-PRO-30|CYM-COL-30|CYM-GLU-30|CYM-CRE-30
ord_100216,2025-02-17,subscriber,,116.55,2,116.55,2,CYM-MAG-30|CYM-ASH-30
ord_100217,2025-02-17,new,,162.0,3,162.0,3,CYM-PRO-30|CYM-VTC-30|CYM-CRE-30
ord_100218,2025-02-17,new,WELCOME10,213.3,4,213.3,4,CYM-COL-30|CYM-VTC-30|CYM-OMG-60|CYM-MAG-30
ord_100219,2025-02-17,subscriber,,57.75,1,57.75,1,CYM-OMG-60
ord_100220,2025-02-17,returning,FRIEND10,52.2,1,52.2,1,CYM-MTB-30
ord_100221,2025-02-17,returning,WELCOME10,110.7,2,110.7,2,CYM-MTB-30|CYM-PRO-30
ord_100222,2025-02-17,returning,,65.0,1,65.0,1,CYM-PRO-30
ord_100223,2025-02-17,subscriber,,65.1,1,65.1,1,CYM-MAG-30
ord_100224,2025-02-17,returning,WELCOME10,113.4,2,113.4,2,CYM-VTD-30|CYM-GLU-30
ord_100225,2025-02-17,subscriber,WELCOME10,46.31,1,46.31,1,CYM-ASH-30
ord_100226,2025-02-17,subscriber,,203.7,3,203.7,3,CYM-VTD-30|CYM-COL-30|CYM-GLU-30
ord_100227,2025-02-17,new,,136.0,2,136.0,2,CYM-GLU-30|CYM-MTB-30
ord_100228,2025-02-17,subscriber,,323.4,5,323.4,5,CYM-COL-30|CYM-ASH-30|CYM-PRO-30|CYM-GLU-30|CYM-VTD-30
ord_100229,2025-02-17,subscriber,,65.1,1,65.1,1,CYM-MAG-30
ord_100230,2025-02-17,subscriber,,47.25,1,47.25,1,CYM-CRE-30
ord_100231,2025-02-17,subscriber,,165.9,3,165.9,3,CYM-VTD-30|CYM-PRO-30|CYM-CRE-30
ord_100232,2025-02-17,new,,100.0,2,100.0,2,CYM-VTC-30|CYM-VTD-30
ord_100233,2025-02-17,returning,,48.0,1,48.0,1,CYM-VTD-30
ord_100234,2025-02-17,subscriber,,60.9,1,60.9,1,CYM-MTB-30
ord_100235,2025-02-17,returning,,253.0,4,253.0,4,CYM-MTB-30|CYM-GLU-30|CYM-VTC-30|CYM-PRO-30
ord_100236,2025-02-17,new,,308.0,5,308.0,5,CYM-GLU-30|CYM-CRE-30|CYM-MAG-30|CYM-MTB-30|CYM-PRO-30
ord_100237,2025-02-17,subscriber,,54.6,1,54.6,1,CYM-VTC-30
ord_100238,2025-02-17,new,,45.0,1,45.0,1,CYM-CRE-30
ord_100239,2025-02-17,returning,,49.0,1,49.0,1,CYM-ASH-30
ord_100240,2025-02-17,new,,62.0,1,62.0,1,CYM-MAG-30
ord_100241,2025-02-17,new,,58.0,1,58.0,1,CYM-MTB-30
ord_100242,2025-02-17,subscriber,,50.4,1,50.4,1,CYM-VTD-30
ord_100243,2025-02-17,new,,52.0,1,52.0,1,CYM-VTC-30
ord_100244,2025-02-17,new,,114.0,2,114.0,2,CYM-VTC-30|CYM-MAG-30
ord_100245,2025-02-17,new,,62.0,1,62.0,1,CYM-MAG-30
ord_100246,2025-02-17,subscriber,,51.45,1,51.45,1,CYM-ASH-30
ord_100247,2025-02-17,new,,48.0,1,48.0,1,CYM-VTD-30
ord_100248,2025-02-17,subscriber,,50.4,1,50.4,1,CYM-VTD-30
ord_100249,2025-02-17,subscriber,,197.4,3,197.4,3,CYM-COL-30|CYM-PRO-30|CYM-OMG-60
ord_100250,2025-02-17,returning,,179.0,3,179.0,3,CYM-PRO-30|CYM-VTC-30|CYM-MAG-30
ord_100251,2025-02-17,new,,68.0,1,68.0,1,CYM-COL-30
ord_100252,2025-02-17,new,,55.0,1,55.0,1,CYM-OMG-60
ord_100253,2025-02-17,returning,SUB15,136.85,3,136.85,3,CYM-COL-30|CYM-VTD-30|CYM-CRE-30
ord_100254,2025-02-17,returning,,113.0,2,113.0,2,CYM-COL-30|CYM-CRE-30
ord_100255,2025-02-17,subscriber,,183.75,3,183.75,3,CYM-MAG-30|CYM-PRO-30|CYM-VTD-30
ord_100256,2025-02-17,new,WELCOME10,40.5,1,40.5,1,CYM-CRE-30
ord_100257,2025-02-17,subscriber,,51.45,1,51.45,1,CYM-ASH-30
ord_100258,2025-02-17,new,,114.0,2,114.0,2,CYM-PRO-30|CYM-ASH-30
ord_100259,2025-02-17,subscriber,,132.3,2,132.3,2,CYM-VTD-30|CYM-GLU-30
ord_100260,2025-02-17,returning,,68.0,1,68.0,1,CYM-COL-30
ord_100261,2025-02-17,new,,110.0,2,110.0,2,CYM-PRO-30|CYM-CRE-30
ord_100262,2025-02-17,subscriber,WELCOME10,73.71,1,73.71,1,CYM-GLU-30
ord_100263,2025-02-17,new,,197.0,4,197.0,4,CYM-CRE-30|CYM-VTD-30|CYM-OMG-60|CYM-ASH-30
ord_100264,2025-02-17,new,,152.0,3,152.0,3,CYM-VTD-30|CYM-OMG-60|CYM-ASH-30
ord_100265,2025-02-17,subscriber,,224.7,4,224.7,4,CYM-CRE-30|CYM-OMG-60|CYM-MAG-30|CYM-VTC-30
ord_100266,2025-02-17,subscriber,SUB15,89.25,2,89.25,2,CYM-VTD-30|CYM-VTC-30
ord_100267,2025-02-17,subscriber,WELCOME10,51.98,1,51.98,1,CYM-OMG-60
